key,es,en
GEN,(Gén)Génesis,(Gen)Genesis
EX,(Éx)Éxodo,(Ex)Exodus
LV,(Lev)Levítico,(Lev)Leviticus
NM,(Núm)Números,(Nm)Numbers
DT,(Dt)Deuteronomio,(Dt)Deuteronomy
JS,(Jos)Josué,(Js)Joshua
JC,(Jue)Jueces,(Jdg)Judges
SAM1,(1 Sam)1 Samuel,(1 Sam)1 Samuel
SAM2,(2 Sam)2 Samuel,(2 Sam)2 Samuel
RE1,(1 Re)1 Reyes,(1 Kg)1 Kings
RE2,(2 Re)2 Reyes,(2 Kg)2 Kings
CRO1,(1 Cró)1 Crónicas,(1 Chr)1 Chronicles
CRO2,(2 Cró)2 Crónicas,(2 Chr)2 Chronicles
ES,(Es)Esdras,(Ezr)Ezra
NE,(Ne)Nehemías,(Ne)Nehemiah
MAC1,(1 Mac)1 Macabeos,(1 Macc)1 Maccabees
MAC2,(2 Mac)2 Macabeos,(2 Macc)2 Maccabees
IS,(Is)Isaías,(Is)Isaiah
JER,(Jer)Jeremías,Jer)Jeremiah
EZ,(Ez)Ezequiel,(Ez)Ezekiel
OS,(Os)Oseas,(Hos)Hosea
JL,(Jl)Joel,(Joe)Joel
AM,(Am)Amós,(Am)Amos
ABD,(Abd)Abdías,(Oba)Obadaih
JON,(Jon)Jonás,(Jon)Jonah
MI,(Mi)Miqueas,(Mi)Micah
NA,(Nah)Nahúm,(Nah)Nahum
HAB,(Hab)Habacuc,(Hab)Habakkuk
SOF,(Sof)Sofonías,(Zep)Zephaniah
AG,(Ag)Ageo,(Hag)Haggai
ZA,(Za)Zacarías,(Zec)Zechariah
DN,(Dn)Daniel,(Dn)Daniel
JOB,Job,Job
PRO,(Pro)Proverbios,(Pro)Proverbs
EC,(Ec)Eclesiastés/Qohelet,(Ecc)Ecclesiastes/Qoheleth
CANT,(Cant)Cantar de cantares,(Cant)Canticle of canticles
RT,(Rt)Rut,(Ru)Ruth
LAM,(Lam)Lamentaciones,(Lam)Lamentations
EST,(Est)Ester,(Est)Esther
TOB,(Tob)Tobías,(Tob)Tobit
JDT,(Jdt)Judit,(Jdt)Judith
BA,(Ba)Baruc,(Ba)Baruch
SAB,(Sab)Sabidurias,(Wis)Wisdom
SIR,(Sir)Sirácida,(Sir)Sirach
SAL,(Sal)Salmos,(Ps)Psalms
MT,(Mt)Mateo,(Matt)Matthew
MC,(Mc)Marcos,(Mar)Mark
LC,(Lc)Lucas,(Lk)Luke
JN,(Jn)Juan,(Jn)John
HE,(He)Hechos,Acts
ROM,(Rom)Romanos,(Rom)Romans
COR1,(1 Cor)1 Corintios,(1 Cor)1 Corinthians
COR2,(2 Cor)2 Corintios,(2 Cor)2 Corinthians
GAL,(Gál)Galatas,(Gal)Galatians
EF,(Ef)Efesios,(Eph)Ephesians
FIL,(FIl)Filipenses,(Phil)Philippians
COL,(Col)Colosenses,(Col)Colossians
FILEM,(Filem)Filemón,(Phm)Philemon
TES1,(1 Tes)1 Tesalonicenses,(1 Thess) 1 Thessalonians
TES2,(2 Tes)2 Tesalonicenses,(2 Thess) 2 Thessalonians
TIM1,(1 Tim)1 Timoteo,(1 Tim)1 Timothy
TIM2,(2 Tim)2 Timoteo,(2 Tim)2 Timothy
TI,(Ti)Tito,(Ti)Titus
HEB,(Heb)Hebreos,(Heb)Hebrews
STGO,(Stgo)Santiago,(Jas)James
PE1,(1 Pe)1 Pedro,(1 Pet)1 Peter
PE2,(2 Pe)2 Pedro,(2 Pet)2 Peter
JUD,(Jud)Judas,(Ju)Jude
JN1,(1 Jn)1 Juan,(1 Jn)1 Jonh
JN2,(2 Jn)2 Juan,(2 Jn)2 Jonh
JN3,(3 Jn)3 Juan,(3 Jn)3 Jonh
AP,(Ap)Apocalipsis,(Rev)Revelation